epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,150.736,0.61731,0.32633,0.00685,0.94966,0.9931,0.9925,0.85347,0.64081,0.25705,0.0079,0.000721645,0.000721645,0.000721645
77,152.525,0.6827,0.33177,0.00834,1,0.98994,0.995,0.86487,0.6173,0.21237,0.00785,0.000712214,0.000712214,0.000712214
78,154.304,0.71153,0.34422,0.00831,0.99785,1,0.995,0.86091,0.61061,0.18087,0.0076,0.000702782,0.000702782,0.000702782
79,156.138,0.6491,0.29155,0.00787,0.99547,1,0.995,0.84446,0.67887,0.2067,0.00846,0.000693351,0.000693351,0.000693351
80,157.904,0.62317,0.33644,0.00757,0.99668,1,0.995,0.88717,0.53479,0.15786,0.00648,0.000683919,0.000683919,0.000683919
81,159.665,0.60123,0.30987,0.00652,0.99772,1,0.995,0.87108,0.58069,0.18152,0.00711,0.000674488,0.000674488,0.000674488
82,161.428,0.64447,0.29572,0.00747,0.99731,1,0.995,0.89175,0.53363,0.14518,0.0065,0.000665057,0.000665057,0.000665057
83,163.188,0.64998,0.31913,0.00728,0.99745,1,0.995,0.86025,0.62771,0.16305,0.00768,0.000655625,0.000655625,0.000655625
84,165.041,0.63007,0.30515,0.00757,0.99772,1,0.995,0.85097,0.6675,0.17259,0.0084,0.000646194,0.000646194,0.000646194
85,166.777,0.58588,0.27107,0.00667,0.99742,1,0.995,0.87507,0.59146,0.15959,0.00732,0.000636762,0.000636762,0.000636762
86,168.552,0.60951,0.32078,0.00731,0.9956,1,0.995,0.88054,0.59438,0.1969,0.00716,0.000627331,0.000627331,0.000627331
87,170.315,0.71262,0.35058,0.00854,0.99712,1,0.995,0.87196,0.5659,0.18707,0.00706,0.0006179,0.0006179,0.0006179
88,172.089,0.56074,0.24754,0.00663,0.99851,1,0.995,0.8974,0.51498,0.15451,0.00618,0.000608468,0.000608468,0.000608468
89,173.944,0.66374,0.32989,0.00787,0.99649,1,0.995,0.88667,0.5651,0.15418,0.00666,0.000599037,0.000599037,0.000599037
90,175.726,0.5953,0.27104,0.00656,1,0.99924,0.995,0.8669,0.57571,0.17833,0.00698,0.000589605,0.000589605,0.000589605
91,177.518,0.63747,0.28064,0.00741,1,0.99681,0.995,0.86667,0.60403,0.20023,0.00746,0.000580174,0.000580174,0.000580174
92,179.292,0.58813,0.30025,0.00659,0.99945,1,0.995,0.8845,0.53442,0.16575,0.00622,0.000570743,0.000570743,0.000570743
93,181.042,0.60086,0.30743,0.00676,0.99909,1,0.995,0.80947,0.80139,0.2258,0.01003,0.000561311,0.000561311,0.000561311
94,182.803,0.64121,0.29067,0.00762,0.99701,1,0.995,0.87657,0.57498,0.18437,0.00687,0.00055188,0.00055188,0.00055188
95,184.569,0.62812,0.277,0.00768,0.993,1,0.995,0.89229,0.57224,0.18573,0.007,0.000542448,0.000542448,0.000542448
96,186.368,0.60872,0.3082,0.00752,0.99185,1,0.995,0.8194,0.81685,0.24124,0.01056,0.000533017,0.000533017,0.000533017
97,188.16,0.67193,0.29854,0.00814,0.99925,1,0.995,0.86848,0.54658,0.21557,0.00682,0.000523586,0.000523586,0.000523586
98,189.927,0.62446,0.28349,0.00729,1,0.9976,0.995,0.85115,0.6711,0.22329,0.00805,0.000514154,0.000514154,0.000514154
99,191.684,0.61141,0.2997,0.00684,0.98801,1,0.995,0.86676,0.58001,0.21671,0.00687,0.000504723,0.000504723,0.000504723
100,193.561,0.58083,0.24731,0.00683,0.9972,1,0.995,0.8453,0.67651,0.20082,0.00874,0.000495291,0.000495291,0.000495291
101,195.31,0.58041,0.25372,0.00666,1,0.99886,0.995,0.86129,0.64141,0.21244,0.00821,0.00048586,0.00048586,0.00048586
102,197.087,0.56178,0.25922,0.0063,1,0.99137,0.995,0.85388,0.66965,0.23243,0.00817,0.000476429,0.000476429,0.000476429
103,198.808,0.6357,0.29209,0.00748,1,0.99506,0.995,0.84536,0.72019,0.22877,0.00879,0.000466997,0.000466997,0.000466997
104,200.599,0.61,0.24948,0.00664,1,0.99587,0.995,0.89063,0.54828,0.19118,0.00673,0.000457566,0.000457566,0.000457566
105,202.385,0.609,0.24862,0.00702,0.99714,1,0.995,0.88527,0.56703,0.19055,0.007,0.000448134,0.000448134,0.000448134
106,204.122,0.58579,0.25272,0.00701,1,0.9958,0.995,0.85256,0.63543,0.2046,0.00747,0.000438703,0.000438703,0.000438703
107,205.841,0.63084,0.27613,0.00694,1,0.99847,0.995,0.88039,0.57839,0.17908,0.00699,0.000429272,0.000429272,0.000429272
108,207.575,0.64817,0.27283,0.00743,0.99882,1,0.995,0.88189,0.59712,0.18205,0.00732,0.00041984,0.00041984,0.00041984
109,209.283,0.58854,0.24889,0.00691,1,0.9948,0.995,0.84113,0.71232,0.21368,0.00902,0.000410409,0.000410409,0.000410409
110,210.998,0.66692,0.26708,0.00808,1,0.99602,0.995,0.85863,0.68072,0.20492,0.00858,0.000400977,0.000400977,0.000400977
111,212.76,0.58494,0.22842,0.00643,1,0.96153,0.995,0.91158,0.49423,0.18528,0.00603,0.000391546,0.000391546,0.000391546
112,214.485,0.66623,0.28593,0.00792,0.99586,1,0.995,0.87095,0.59499,0.1735,0.00721,0.000382115,0.000382115,0.000382115
113,216.174,0.62262,0.26102,0.00718,0.99706,1,0.995,0.85214,0.63709,0.1855,0.00758,0.000372683,0.000372683,0.000372683
114,217.891,0.57674,0.25194,0.00677,0.99717,1,0.995,0.87487,0.6336,0.18174,0.00796,0.000363252,0.000363252,0.000363252
